"year","variable","Coverage","dlm.geomean","dlm.lower","dlm.upper","fixed.effects","lower.whisker","q.25","median","q.75","upper.whisker"
1980,"MCatch",0.538126361655773,1.03749659877724,0.969604075246736,1.11014301605573,1.12242306199601,0,0.568846447817709,0.975141465293657,1.45435466946485,2.76061613546937
1981,"MCatch",0.565359477124183,1.05727485518237,0.991138443397958,1.12782439915115,1.15523543086087,0,0.583650504763801,0.978908135473171,1.43448840568529,2.62204257988083
1982,"MCatch",0.580610021786492,1.08885815352066,1.02267645146138,1.15932275236632,1.22151783436321,0,0.580423885322311,0.98160005111872,1.52063541563125,2.93041983885959
1983,"MCatch",0.589324618736383,1.07725989108676,1.01349595065017,1.14503552993949,1.20492105811043,0,0.610887366478761,0.987476135232162,1.47456288092211,2.76331085193192
1984,"MCatch",0.611111111111111,1.1064764677558,1.04351968348777,1.17323150973577,1.26394888634141,0,0.625428514056032,0.994251052464805,1.46404294091197,2.71269887097509
1985,"MCatch",0.632897603485839,1.06133689115766,1.00371041001731,1.12227190760409,1.16716636062885,0,0.614809683347056,1.01508261756395,1.41218522900118,2.56673923176577
1986,"MCatch",0.649237472766884,1.10027409896462,1.0425661695316,1.16117626701459,1.22774235971893,0,0.659905466328896,1.02305920170014,1.45884984703789,2.61645193260654
1987,"MCatch",0.672113289760349,1.10141821152663,1.04637945634721,1.15935196292689,1.19533652802748,0,0.656134038007422,1.02262921225582,1.44212999931555,2.57446580166585
1988,"MCatch",0.694989106753813,1.19771633327101,1.14006024796925,1.25828825058976,1.32635049081864,0,0.703972188327031,1.04285346065657,1.48183976783045,2.64681149391468
1989,"MCatch",0.708061002178649,1.21914050147846,1.1622150179407,1.27885420460207,1.34084938238153,0,0.719602494154326,1.05760056717705,1.41344559255007,2.45350687680902
1990,"MCatch",0.747276688453159,1.18739091783316,1.13672716481564,1.24031274644636,1.26977278348976,0,0.677422730086323,1.01357397539257,1.35436089607868,2.36257698499911
1991,"MCatch",0.761437908496732,1.20488646253195,1.15518341564913,1.25672803809858,1.28233930290156,0,0.691043740621391,1.01166363560278,1.38386630366416,2.4208030626006
1992,"MCatch",0.766884531590414,1.19149134950903,1.14336233258232,1.24164632286647,1.2687087962358,0,0.700676294765851,1.0262678739353,1.36194558096222,2.29837670703427
1993,"MCatch",0.779956427015251,1.18082081829882,1.13488697321715,1.22861380721929,1.26564347772304,0,0.674604161758456,1.00410309966014,1.32294805767825,2.29007019988211
1994,"MCatch",0.798474945533769,1.10844327285924,1.06783483283551,1.15059600170971,1.15487148078743,0,0.649048962977859,0.956836234578334,1.28744044900217,2.20187276232443
1995,"MCatch",0.814814814814815,1.09618580422617,1.05797983996804,1.13577146935359,1.12996665037329,0,0.626878244769067,0.972012966575352,1.30142983955599,2.26012575683612
1996,"MCatch",0.820261437908497,1.13866556372661,1.09957793554836,1.17914267292954,1.17510553584666,0,0.688187043968175,0.961572750253044,1.30956254939333,2.232601299103
1997,"MCatch",0.827886710239651,1.15288907373969,1.1142461122923,1.19287220452036,1.19801200299106,0,0.690648959246954,0.999132322920565,1.3087512679994,2.22493999791297
1998,"MCatch",0.83442265795207,1.10042790875269,1.06476725672155,1.137282889493,1.12741872024673,0,0.629831516352825,0.97611188499083,1.28878409517175,2.2574129623173
1999,"MCatch",0.840958605664488,1.08132434935271,1.04727122518328,1.11648474663135,1.10966024628959,0,0.613622021419598,0.932795371894292,1.26298983078157,2.18518518518519
2000,"MCatch",0.85838779956427,1.05387195717742,1.02285581411175,1.08582860536356,1.0776352760483,0,0.609662931078527,0.930715224108779,1.26727608203214,2.25068190674114
2001,"MCatch",0.860566448801743,0.999645181853058,0.970809946033288,1.02933688894012,1.01535168787399,0,0.561886289247182,0.927917574964613,1.25483207317233,2.23769577361246
2002,"MCatch",0.879084967320261,0.990483712081839,0.964056569926868,1.01763528666564,1.00489647312581,0,0.546457470308593,0.890908165343107,1.24642803690532,2.27716903483666
2003,"MCatch",0.889978213507625,0.941816182901528,0.918075695033806,0.966170575229684,0.948518751049983,0,0.549197844400396,0.88700863976594,1.21865932594301,2.20676451818762
2004,"MCatch",0.895424836601307,0.913471806408463,0.891180589775163,0.936320596158473,0.917664484002742,0,0.532565089792951,0.864332029895566,1.21700943686532,2.2068141063957
2005,"MCatch",0.908496732026144,0.861156117719411,0.841635152462093,0.881129854089559,0.858964605415866,0,0.518608465274711,0.833275995214096,1.16331096196868,2.11343472750317
2006,"MCatch",0.92483660130719,0.837765139016067,0.820621037856709,0.855267408185997,0.844300927243708,0,0.520632552472198,0.850926971146186,1.17588235487293,2.14232571981251
2007,"MCatch",0.911764705882353,0.815960976580372,0.797895029138955,0.834435973389234,0.811616700656276,0,0.482291859818283,0.830679266955568,1.1709290177141,2.1673923560716
2008,"MCatch",0.879084967320261,0.761955140381862,0.742102943203388,0.782338409073288,0.747407139156064,0,0.477937488104789,0.796935769004125,1.13259580480209,2.09427869418292
2009,"MCatch",0.881263616557734,0.743941085498511,0.724618968306944,0.763778431008814,0.726918577432072,0,0.441893331019685,0.770545883599413,1.11224818984397,2.11187767480631
2010,"MCatch",0.861655773420479,0.749560794376804,0.728396342940907,0.771340204974597,0.738202463352577,0,0.458058873262516,0.796019900497512,1.09361342160953,2.0356518749821
2011,"MCatch",0.790849673202614,0.718276843679801,0.69285954685384,0.744626564661383,0.699019218442371,0,0.441338021644468,0.794842082229015,1.08084167340088,2.03436947182209
2012,"MCatch",0.722222222222222,0.705422277386286,0.675900896851405,0.73623306575114,0.693336605832116,0,0.444459683140494,0.758862983072501,1.04624865113382,1.92753966374615
2013,"MCatch",0.662309368191721,0.65739719044898,0.625721839261282,0.690676014314008,0.625159378223001,0,0.386437040052302,0.746059376623182,1.03781250044618,2.00170459311017
2014,"MCatch",0.526143790849673,0.65547678081734,0.616152624164114,0.69731068787305,0.617186134382506,0,0.383634994079177,0.75075289148835,1.0754154588594,2.0892617507398
2015,"MCatch",0.338779956427015,0.668211324635978,0.616508250035108,0.724250444898898,0.656388113994215,0,0.439479363209493,0.810807698950318,1.08479998483425,2.0034874423588
2016,"MCatch",0.230936819172113,0.646920442470227,0.586127903415133,0.714018316560954,0.650030935829115,0,0.414387168165832,0.841865109153196,1.10489614115735,2.10691818589387
2017,"MCatch",0.111111111111111,0.636860521272931,0.562102040473948,0.721561734972616,0.610813192593314,0,0.390330362857565,0.72187556711947,1.05934340615541,1.85655319948245
2018,"MCatch",0.00108932461873638,0.615951212750097,0.520890010083463,0.728360861494588,0.00123557047432399,0,0,0,0,0
